"ID";"SportsClubs";"Periods";"TotalNumberOfSportsClubs_1";"LessThan51Members_2";"k_51To100Members_3";"k_101To200Members_4";"k_201To300Members_5";"k_301To400Members_6";"k_401To500Members_7";"MoreThan500Members_8";"AverageNumberOfMembers_9";"AverageNumberOfMembersUnder18Years_10";"SportsClubsWithoutSportsFacility_11";"SportsClubsWithRentedSportsFacility_12";"SportsClubsWithAccommodationOwned_13";"SportHallOrGymnasium_14";"IndoorTennisCourt_15";"OtherIndoorSportsFacility_16";"PitchFieldOrTrack_17";"GolfCourse_18";"OtherOutdoorSportsFacility_19";"OwnershipInDifferentLegalForm_20";"SportsClubsWithClubHouse_21";"SportsClubsWithClubHouseOwned_22";"Employees_23";"EmployedPersonsNotOnPayroll_24";"Employees_25";"Employees_26";"TrainingInstructionMedicalCare_27";"ManagementCommitteesAdministration_28";"MaintenanceCleaningCanteen_29";"OtherWork_30";"SportsClubsWithVolunteers_31";"TotalWorkingHoursVolunteers_32";"SupervisionOfYouthMembers_33";"TrainingCoachingMedicalCare_34";"ManagementCommitteesAdministration_35";"MaintenanceCleaningCanteen_36";"TotalRevenues_37";"MembershipAndTuitionFees_38";"GrantsAndContributions_39";"SponsorshipAndAdvertising_40";"CanteenProceeds_41";"OtherRevenues_42";"TotalCosts_43";"WagesAndSocialCharges_44";"StaffNotOnPayroll_45";"HousingCosts_46";"MaintenanceAndCleaning_47";"CostsOfCanteenPurchases_48";"InterestAndDepreciations_49";"PaymentsToSportsFederations_50";"CostsOfMatchesAndTravelling_51";"OtherCosts_52"
"66";"A045017";"2006JJ00";"    1080";"      29";"      13";"      19";"      10";"       7";"       5";"      16";"     393";"       .";"     100";"";"";"";"";"";"";"";"";"";"       .";"       .";"       0";"       .";"      10";"      10";"       0";"      76";"      24";"       0";"      74";"      25";"      12";"       2";"      69";"      17";"      10";"      79";"       7";"       2";"       6";"       5";"       9";"       3";"       3";"      10";"       2";"       4";"       1";"      35";"      19";"      25"
"67";"A045017";"2009JJ00";"    1120";"      23";"      17";"      19";"      11";"       5";"       4";"      21";"     402";"       .";"     100";"";"";"";"";"";"";"";"";"";"       .";"       .";"       0";"       .";"      10";"      10";"       0";"      73";"      27";"       0";"      69";"      23";"      16";"       4";"      63";"      18";"      13";"      85";"       7";"       1";"       2";"       5";"      12";"       1";"       2";"       7";"       3";"       1";"       2";"      50";"      15";"      19"
"68";"A045017";"2012JJ00";"    1090";"      23";"      16";"      19";"      12";"       5";"       4";"      20";"     440";"       .";"     100";"";"";"";"";"";"";"";"";"";"       .";"       .";"       0";"       .";"      10";"      10";"       0";"      70";"      30";"       0";"      72";"      22";"      20";"       4";"      59";"      16";"      16";"      87";"       4";"       1";"       3";"       5";"      15";"       1";"       2";"       6";"       6";"       2";"       1";"      52";"      10";"      19"
"69";"A045017";"2015JJ00";"    1050";"      21";"      10";"      17";"      11";"      12";"       5";"      23";"     443";"      50";"     100";"";"";"";"";"";"";"";"";"";"      25";"      10";"       0";"       0";"      10";"       0";"";"";"";"";"      75";"      25";"      18";"       7";"      60";"      15";"      13";"      85";"       5";"       2";"       7";"       2";"      12";"       2";"       3";"       4";"       3";"       6";"       2";"      54";"       6";"      21"
"70";"A045017";"2018JJ00";"    1000";"      18";"      10";"      20";"      12";"       6";"       5";"      29";"     563";"      46";"     100";"";"";"";"";"";"";"";"";"";"      22";"      10";"       0";"       0";"      10";"       0";"";"";"";"";"      76";"      20";"      21";"       4";"      55";"      20";"      14";"      93";"       3";"       1";"       1";"       2";"      13";"       1";"       2";"       3";"       3";"       1";"       2";"      58";"       5";"      25"
"71";"A045017";"2020JJ00";"     945";"      19";"       8";"      12";"      12";"       6";"       8";"      35";"     730";"      73";"     100";"";"";"";"";"";"";"";"";"";"      17";"      10";"       0";"       1";"       0";"       0";"";"";"";"";"      80";"      17";"      18";"       6";"      60";"      16";"      20";"      94";"       2";"       1";"       1";"       2";"      15";"       1";"       3";"       2";"       3";"       1";"       1";"      63";"       4";"      23"
"72";"A045018";"2000JJ00";"    1620";"      53";"      27";"      14";"       4";"       1";"       1";"       0";"      70";"       .";"      32";"      58";"      13";"       0";"       0";"       0";"       0";"       0";"      13";"       5";"       .";"       .";"       9";"       .";"     380";"      80";"      90";"       0";"       8";"       2";"      87";"      53";"      15";"      15";"      49";"      20";"      22";"      50";"      21";"       9";"      13";"       7";"      21";"       9";"      15";"      17";"       7";"       8";"       4";"       7";"      11";"      23"
"73";"A045018";"2003JJ00";"    1610";"      53";"      27";"      14";"       4";"       1";"       0";"       1";"      73";"       .";"      31";"      59";"      14";"       0";"       0";"      11";"       0";"       0";"       9";"       5";"       .";"       .";"      11";"       .";"     440";"     100";"      87";"       1";"      12";"       0";"      89";"      50";"      17";"      15";"      54";"      13";"      28";"      53";"      20";"       7";"      13";"       7";"      27";"      12";"      12";"      16";"       6";"       8";"       5";"       9";"      15";"      17"
"74";"A045018";"2006JJ00";"    1710";"      57";"      19";"      19";"       4";"       1";"       0";"       0";"      74";"       .";"      31";"      57";"      17";"       0";"       0";"      13";"       0";"       0";"      11";"       5";"       .";"       .";"       9";"       .";"     440";"     100";"      90";"       2";"       8";"       0";"      86";"      58";"      18";"      14";"      51";"      17";"      37";"      51";"      17";"      12";"      14";"       7";"      35";"       9";"      13";"      17";"       7";"       8";"       6";"       8";"      16";"      17"
"75";"A045018";"2009JJ00";"    1780";"      52";"      23";"      15";"       6";"       1";"       1";"       2";"      87";"       .";"      42";"      56";"       3";"       0";"       0";"       2";"       0";"       0";"       1";"       1";"       .";"       .";"      10";"       .";"     510";"     140";"      89";"       2";"       9";"       0";"      79";"      64";"      28";"      13";"      41";"      17";"      41";"      52";"      17";"      11";"      15";"       6";"      40";"      12";"      12";"      15";"       7";"       9";"       5";"       9";"      12";"      19"
