"ID";"SportsClubs";"Periods";"TotalNumberOfSportsClubs_1";"LessThan51Members_2";"k_51To100Members_3";"k_101To200Members_4";"k_201To300Members_5";"k_301To400Members_6";"k_401To500Members_7";"MoreThan500Members_8";"AverageNumberOfMembers_9";"AverageNumberOfMembersUnder18Years_10";"SportsClubsWithoutSportsFacility_11";"SportsClubsWithRentedSportsFacility_12";"SportsClubsWithAccommodationOwned_13";"SportHallOrGymnasium_14";"IndoorTennisCourt_15";"OtherIndoorSportsFacility_16";"PitchFieldOrTrack_17";"GolfCourse_18";"OtherOutdoorSportsFacility_19";"OwnershipInDifferentLegalForm_20";"SportsClubsWithClubHouse_21";"SportsClubsWithClubHouseOwned_22";"Employees_23";"EmployedPersonsNotOnPayroll_24";"Employees_25";"Employees_26";"TrainingInstructionMedicalCare_27";"ManagementCommitteesAdministration_28";"MaintenanceCleaningCanteen_29";"OtherWork_30";"SportsClubsWithVolunteers_31";"TotalWorkingHoursVolunteers_32";"SupervisionOfYouthMembers_33";"TrainingCoachingMedicalCare_34";"ManagementCommitteesAdministration_35";"MaintenanceCleaningCanteen_36";"TotalRevenues_37";"MembershipAndTuitionFees_38";"GrantsAndContributions_39";"SponsorshipAndAdvertising_40";"CanteenProceeds_41";"OtherRevenues_42";"TotalCosts_43";"WagesAndSocialCharges_44";"StaffNotOnPayroll_45";"HousingCosts_46";"MaintenanceAndCleaning_47";"CostsOfCanteenPurchases_48";"InterestAndDepreciations_49";"PaymentsToSportsFederations_50";"CostsOfMatchesAndTravelling_51";"OtherCosts_52"
"104";"A045022";"2000JJ00";"     710";"      49";"      25";"      16";"       8";"       1";"       1";"       0";"      85";"       .";"      86";"      11";"       3";"       0";"       0";"       2";"       0";"       0";"       2";"       0";"       .";"       .";"       0";"       .";"       0";"       0";"";"";"";"";"      75";"      19";"      16";"      15";"      52";"      18";"       5";"      34";"      29";"      24";"       7";"       6";"       5";"       0";"       2";"      10";"       3";"       5";"       5";"      12";"      25";"      38"
"105";"A045022";"2003JJ00";"     740";"      42";"      28";"      20";"       7";"       1";"       1";"       1";"     103";"       .";"      87";"      11";"       2";"       0";"       0";"       1";"       0";"       0";"       1";"       0";"       .";"       .";"       0";"       .";"       0";"       0";"";"";"";"";"      74";"      20";"      20";"      16";"      52";"      12";"       7";"      40";"      25";"      22";"       8";"       5";"       7";"       0";"       3";"       5";"       3";"       5";"       2";"      13";"      27";"      41"
"106";"A045022";"2006JJ00";"     740";"      39";"      33";"      18";"       6";"       1";"       2";"       0";"      92";"       .";"      86";"      12";"       4";"       0";"       0";"       2";"       0";"       0";"       2";"       0";"       .";"       .";"       0";"       .";"       0";"       0";"";"";"";"";"      75";"      17";"      19";"      20";"      52";"       9";"       7";"      40";"      22";"      27";"       5";"       6";"       7";"       0";"       2";"       6";"       8";"       3";"       1";"      16";"      33";"      31"
"107";"A045022";"2009JJ00";"     820";"      38";"      27";"      22";"       7";"       2";"       3";"       1";"     104";"       .";"      90";"      10";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       0";"       .";"       0";"       0";"";"";"";"";"      72";"      20";"      19";"      17";"      55";"       9";"       9";"      39";"      18";"      29";"       7";"       7";"       8";"       0";"       4";"       7";"       5";"       5";"       1";"      19";"      30";"      29"
"108";"A045022";"2012JJ00";"     910";"      41";"      24";"      21";"       9";"       2";"       2";"       1";"     103";"       .";"      87";"      13";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       0";"       .";"       0";"       0";"";"";"";"";"      73";"      22";"      19";"      17";"      54";"      10";"      11";"      47";"      17";"      21";"       7";"       7";"      10";"       0";"       3";"       6";"       5";"       4";"       1";"      17";"      37";"      26"
"109";"A045022";"2015JJ00";"     995";"      44";"      24";"      19";"       6";"       4";"       2";"       1";"     102";"      11";"      84";"      14";"       3";"       0";"       0";"       0";"       0";"       0";"       3";"       1";"      17";"       7";"       0";"       1";"       0";"       0";"";"";"";"";"      75";"      24";"      21";"      18";"      54";"       6";"      12";"      45";"      19";"      23";"       9";"       5";"      11";"       0";"       4";"      12";"       5";"       7";"       5";"      14";"      24";"      29"
"110";"A045022";"2018JJ00";"     890";"      38";"      26";"      20";"       8";"       4";"       2";"       1";"     110";"      15";"      78";"      21";"       3";"       0";"       0";"       0";"       0";"       0";"       3";"       1";"      24";"      12";"       0";"       2";"       0";"       0";"";"";"";"";"      73";"      23";"      14";"      24";"      51";"      11";"      11";"      39";"      21";"      27";"       6";"       7";"      11";"       0";"       3";"      12";"       4";"       4";"       3";"      17";"      22";"      35"
"111";"A045022";"2020JJ00";"     880";"      37";"      26";"      23";"       9";"       2";"       1";"       2";"     111";"      15";"      79";"      20";"       2";"       0";"       0";"       0";"       1";"       0";"       1";"       1";"      23";"      12";"       0";"       2";"       0";"       0";"";"";"";"";"      73";"      18";"      12";"      24";"      53";"      11";"      11";"      47";"      15";"      28";"       3";"       7";"      10";"       0";"       3";"      15";"       7";"       3";"       5";"      22";"      13";"      31"
"112";"A045023";"2000JJ00";"    3980";"      42";"      21";"      15";"       8";"       4";"       3";"       7";"     178";"       .";"      48";"      40";"      15";"       0";"       0";"       6";"       0";"       0";"      10";"       2";"       .";"       .";"       2";"       .";"     470";"     110";"      44";"      16";"      20";"      19";"      74";"     114";"      14";"      17";"      46";"      22";"      45";"      47";"      19";"      12";"      15";"       7";"      43";"      10";"       5";"      18";"       7";"       9";"       7";"       5";"      16";"      24"
"113";"A045023";"2003JJ00";"    4100";"      44";"      20";"      16";"       7";"       4";"       2";"       6";"     167";"       .";"      50";"      40";"      12";"       1";"       0";"       4";"       1";"       0";"       8";"       2";"       .";"       .";"       1";"       .";"     360";"      90";"      42";"       5";"      17";"      36";"      73";"     107";"      11";"      16";"      50";"      22";"      60";"      46";"      18";"      13";"      18";"       5";"      56";"       4";"       5";"      17";"       9";"      11";"       5";"       6";"      19";"      25"
"114";"A045023";"2006JJ00";"    4380";"      42";"      18";"      17";"       8";"       4";"       3";"       7";"     175";"       .";"      44";"      45";"      15";"       1";"       0";"       6";"       2";"       0";"       9";"       2";"       .";"       .";"       3";"       .";"     510";"     160";"      52";"      20";"      15";"      13";"      70";"     162";"      20";"      19";"      41";"      20";"      90";"      46";"      14";"      15";"      20";"       5";"      85";"       7";"       6";"      16";"       8";"      11";"       5";"       6";"      21";"      19"
"115";"A045023";"2009JJ00";"    5000";"      45";"      22";"      13";"       8";"       3";"       2";"       7";"     178";"       .";"      44";"      48";"       8";"       0";"       0";"       2";"       0";"       0";"       7";"       2";"       .";"       .";"       2";"       .";"     520";"     180";"      45";"      13";"      35";"       7";"      68";"     181";"      21";"      18";"      43";"      18";"     100";"      44";"      15";"      19";"      17";"       6";"      94";"       7";"       4";"      15";"      10";"       9";"       5";"       7";"      26";"      17"
"116";"A045023";"2012JJ00";"    5390";"      45";"      20";"      15";"       8";"       4";"       2";"       6";"     179";"       .";"      49";"      42";"      11";"       1";"       0";"       3";"       1";"       0";"       8";"       3";"       .";"       .";"       1";"       .";"     420";"     110";"      45";"      21";"      21";"      14";"      69";"     194";"      20";"      16";"      44";"      20";"     102";"      45";"      16";"      20";"      12";"       7";"     100";"       5";"       5";"      15";"       8";"       7";"       4";"       6";"      30";"      21"
"117";"A045023";"2015JJ00";"    5095";"      48";"      21";"      12";"       6";"       4";"       3";"       6";"     150";"      37";"      45";"      44";"      16";"       1";"       0";"       6";"       3";"       0";"      10";"       3";"      39";"      27";"       2";"       2";"     400";"     160";"      42";"      18";"      30";"      10";"      70";"     162";"      11";"      15";"      45";"      30";"     100";"      37";"      12";"      31";"      12";"       8";"     100";"       7";"       4";"      12";"       7";"       7";"       6";"       3";"      28";"      26"
"118";"A045023";"2018JJ00";"    4465";"      46";"      21";"      15";"       6";"       4";"       1";"       7";"     159";"      37";"      43";"      44";"      16";"       1";"       0";"       7";"       2";"       0";"       8";"       3";"      41";"      28";"       2";"       3";"     230";"      90";"      68";"      17";"      16";"       0";"      70";"     128";"      13";"      18";"      52";"      16";"      62";"      45";"      14";"      17";"      16";"       9";"      61";"       4";"       7";"      17";"       7";"      10";"       7";"       5";"      14";"      29"
"119";"A045023";"2020JJ00";"    4460";"      46";"      17";"      17";"       6";"       3";"       3";"       8";"     177";"      41";"      45";"      43";"      14";"       1";"       0";"       5";"       2";"       0";"       9";"       3";"      42";"      30";"       2";"       4";"     260";"      90";"      71";"      15";"      12";"       2";"      74";"     116";"      13";"      20";"      43";"      24";"      62";"      52";"      17";"      12";"       8";"      11";"      59";"       5";"       9";"      24";"       8";"       5";"       9";"       5";"       5";"      30"
